0103,"Bl. Stephana Quinzani","sister and virgin",OM
0110,"Bl. Gonsalvo of Amarante","friar and priest",OM
0110,"Bl. Ann of the Angels Monteagudo","nun and virgin",OM
0111,"Bl. Bernard Scammacca","friar and priest",OM
0119,"Bl. Andrew Grego of Peschiera","friar and priest",OM
0122,"Bl. Anthony della Chiesa","friar and priest",OM
0123,"Bl. Henry Suso","friar and priest",OM
0127,"Bl. Marcolino of Forli","friar and priest",OM
0129,"Bl. Villana delle Botti","lay Dominican and mother",OM
0203,"Bl. Peter Cambiani of Ruffia, Anthony Pavonio, and Bartholomew of Cerverio","friars, priests and martyrs",OM
0213,"Bl. Nicholas Paglia","friar and priest",OM # 13 or 16?
0219,"Bl. Alvarez of Zamora (or of Cordoba)","friar and priest",OM
0220,"Bl. Christopher of Milan","friar and priest",OM
0224,"Bl. Constantius Servoli of Fabriano","friar and priest",OM
0224,"Bl. Ascensión of the Heart of Jesus Nichol Goñi","virgin",OM
0401,"Bl. Guiseppe Girotti","friar, priest and martyr",OM
0410,"Bl. Anthony Neyrot","friar, priest and martyr",OM
0413,"Bl. Margaret of Città di Castello","lay Dominican and virgin",OM
0414,"Bl. Peter Gonzalez (“Saint Elmo”)","friar and priest",OM
0417,"Bl. Clara Gambacorta","nun and widow",OM
0417,"Bl. Maria Mancini","nun and widow",OM
0419,"Bl. Isnard of Chiampo","friar and priest",OM
0419,"Bl. Sibyllina Biscossi","lay Dominican and virgin",OM
0427,"Bl. Osanna of Kotor","lay Dominican and virgin",OM
0504,"Bl. Emily Bicchieri","nun and virgin",OM
0507,"Bl. Albert de Villa D’Ogna of Bergamo","lay Dominican and Husband",OM
0508,"Bl. Pierre Claverie;companions","friar and bishop;martyrs",OM
0508,"Patronage of the Blessed Virgin Mary over the universal Order of Preachers"
0512,"Bl. Jane of Portugal","nun and virgin",OM
0513,"Bl. Imelda Lambertini","nun and virgin",OM
0515,"Bl. Giles of Vouzela in Portugal","friar and priest",OM
0515,"Bl. Andrew Abellon","friar and priest",OM
0521,"Bl. Columba Guadagnoli of Rieti","sister and virgin",OM # 20 or 21
0521,"Bl. Hyacinth-Marie Cormier","friar and priest",OM
0527,"Bl. Andrew (Francisco) Franchi","friar and bishop",OM
0528,"Bl. Mary Bartholomew Bagnesi","lay Dominican and virgin",OM
0529,"Bl. William Arnaud;companions","friar and priest;martyrs",OM
0530,"Bl. James Salomonio","friar and priest",OM
0602,"Bl. Sadoc;companions","friar and priest;martyrs",OM
0610,"Bl. John Dominic","friar and bishop","OM"
0612,"Bl. Stephen Bandelli","friar and priest","OM"
0618,"Bl. Osanna Andreasi of Mantua","lay Dominican and virgin","OM"
0620,"Bl. Margaret Ebner","nun and virgin","OM"
0623,"Bl. Innocent V","friar and pope","OM"
0704,"Bl. Catherine Jarrige","virgin",OM"
